Difficulty,Question,Ground Truth,Retrieved,Matched,Extra,Missing,TP,FP,FN,Precision,Recall,F1
Easy,Which movie has the longest duration?,film,"film, film_actor, film_category, inventory, language",film,"film_actor, film_category, inventory, language",,1,4,0,0.2,1.0,0.3333
Easy,Which movie has the shortest duration?,film,"film, film_actor, film_category, inventory, language",film,"film_actor, film_category, inventory, language",,1,4,0,0.2,1.0,0.3333
Easy,How many customers are there?,customer,"address, customer, inventory, payment, payment_p2022_01, payment_p2022_02, payment_p2022_03, payment_p2022_04, payment_p2022_05, payment_p2022_06, rental, staff, store",customer,"address, inventory, payment, payment_p2022_01, payment_p2022_02, payment_p2022_03, payment_p2022_04, payment_p2022_05, payment_p2022_06, rental, staff, store",,1,12,0,0.0769,1.0,0.1429
Easy,How many actors are available?,actor,"actor, film, film_actor",actor,"film, film_actor",,1,2,0,0.3333,1.0,0.5
Easy,How many stores are there?,store,"actor, film, film_actor",,"actor, film, film_actor",store,0,3,1,0.0,0.0,0
Intermediate,Which actor generated the highest rental revenue?,"actor, film, film_actor, inventory, payment, rental","actor, customer, film, film_actor, inventory, payment_p2022_01, payment_p2022_02, payment_p2022_03, payment_p2022_04, payment_p2022_05, payment_p2022_06, rental, staff","actor, film, film_actor, inventory, rental","customer, payment_p2022_01, payment_p2022_02, payment_p2022_03, payment_p2022_04, payment_p2022_05, payment_p2022_06, staff",payment,5,8,1,0.3846,0.8333,0.5263
Intermediate,Which language generated the highest revenue?,"film, inventory, language, payment, rental","film, film_actor, film_category, inventory, language","film, inventory, language","film_actor, film_category","payment, rental",3,2,2,0.6,0.6,0.6
Intermediate,Which movies have never been rented?,"film, inventory, rental","actor, film, film_actor",film,"actor, film_actor","inventory, rental",1,2,2,0.3333,0.3333,0.3333
Intermediate,Which category contains the most films?,"category, film, film_category","actor, category, film, film_actor, film_category","category, film, film_category","actor, film_actor",,3,2,0,0.6,1.0,0.75
Intermediate,Top 5 customers by payment,"customer, payment","customer, payment, payment_p2022_03, payment_p2022_07, rental, staff","customer, payment","payment_p2022_03, payment_p2022_07, rental, staff",,2,4,0,0.3333,1.0,0.5
