Difficulty,Question,Ground Truth,Retrieved,Matched,Extra,Missing,TP,FP,FN,Precision,Recall,F1
Very Hard,Which actor-category combination generated the highest rental payment?,"actor, category, film, film_actor, film_category, inventory, payment, rental","address, category, customer, film, film_actor, film_category, inventory, language, payment, rental, staff, store","category, film, film_actor, film_category, inventory, payment, rental","address, customer, language, staff, store",actor,7,5,1,0.5833,0.875,0.7
Very Hard,Which customer generated the highest payment from Comedy films?,"category, customer, film, film_category, inventory, payment, rental","actor, address, category, city, customer, film, film_actor, film_category, inventory, language, payment, rental, staff, store","category, customer, film, film_category, inventory, payment, rental","actor, address, city, film_actor, language, staff, store",,7,7,0,0.5,1.0,0.6667
Very Hard,Which country has the highest average payment per customer?,"address, city, country, customer, payment","address, city, country, customer, inventory, payment, rental, staff, store","address, city, country, customer, payment","inventory, rental, staff, store",,5,4,0,0.5556,1.0,0.7143
Very Hard,Which actor generated the most payment in each store?,"actor, customer, film, film_actor, inventory, payment, rental, store","actor, address, city, customer, film, film_actor, inventory, payment, rental, staff, store","actor, customer, film, film_actor, inventory, payment, rental, store","address, city, staff",,8,3,0,0.7273,1.0,0.8421
Very Hard,Which film category has the highest payment per rental?,"category, film, film_category, inventory, payment, rental","actor, category, film, film_actor, film_category, inventory, language, payment, rental, store","category, film, film_category, inventory, payment, rental","actor, film_actor, language, store",,6,4,0,0.6,1.0,0.75
Very Hard,Which customers have rented films from every available category?,"category, customer, film, film_category, inventory, rental","actor, address, category, city, customer, film, film_actor, film_category, inventory, language, rental, staff, store","category, customer, film, film_category, inventory, rental","actor, address, city, film_actor, language, staff, store",,6,7,0,0.4615,1.0,0.6316
Very Hard,Which language generated the highest payment among films released in the most popular category?,"category, film, film_category, inventory, language, payment, rental","actor, category, film, film_actor, film_category, inventory, language, rental, store","category, film, film_category, inventory, language, rental","actor, film_actor, store",payment,6,3,1,0.6667,0.8571,0.75
Very Hard,Which actor appeared in films rented by customers from the highest payment country?,"actor, address, city, country, customer, film, film_actor, inventory, payment, rental","actor, address, category, city, customer, film, film_actor, film_category, inventory, language, payment, rental, staff, store","actor, address, city, customer, film, film_actor, inventory, payment, rental","category, film_category, language, staff, store",country,9,5,1,0.6429,0.9,0.75
Very Hard,Which store generated the highest payment from Action films?,"category, customer, film, film_category, inventory, payment, rental, store","actor, address, category, city, customer, film, film_actor, film_category, inventory, language, payment, rental, staff, store","category, customer, film, film_category, inventory, payment, rental, store","actor, address, city, film_actor, language, staff",,8,6,0,0.5714,1.0,0.7273
Very Hard,Which city generated the highest payment from films featuring the most popular actor?,"actor, address, city, customer, film, film_actor, inventory, payment, rental","actor, category, film, film_actor, film_category, inventory, language, rental, store","actor, film, film_actor, inventory, rental","category, film_category, language, store","address, city, customer, payment",5,4,4,0.5556,0.5556,0.5556
Very Hard,Which staff member processed the most rentals for films longer than 120 minutes?,"film, inventory, rental, staff","actor, address, category, city, customer, film, film_actor, film_category, inventory, language, rental, staff, store","film, inventory, rental, staff","actor, address, category, city, customer, film_actor, film_category, language, store",,4,9,0,0.3077,1.0,0.4706
Very Hard,Which district has the most customers who rented R-rated films?,"address, customer, film, inventory, rental","actor, address, category, city, country, customer, film, film_actor, film_category, inventory, language, rental, staff, store","address, customer, film, inventory, rental","actor, category, city, country, film_actor, film_category, language, staff, store",,5,9,0,0.3571,1.0,0.5263
Very Hard,Which actor has the highest average film replacement cost across all categories they appeared in?,"actor, category, film, film_actor, film_category","actor, category, film, film_actor, film_category, inventory, language, rental, store","actor, category, film, film_actor, film_category","inventory, language, rental, store",,5,4,0,0.5556,1.0,0.7143
Very Hard,Which store has the most inventory of films with above-average rental rates?,"film, inventory, store","actor, address, category, customer, film, film_actor, film_category, inventory, language, rental, staff, store","film, inventory, store","actor, address, category, customer, film_actor, film_category, language, rental, staff",,3,9,0,0.25,1.0,0.4
Very Hard,Which customer generated the highest payment on films featuring actors who appeared in fewer than 15 films?,"actor, customer, film, film_actor, inventory, payment, rental","actor, address, city, customer, film, film_actor, film_category, inventory, language, payment, rental, staff, store","actor, customer, film, film_actor, inventory, payment, rental","address, city, film_category, language, staff, store",,7,6,0,0.5385,1.0,0.7
Boss,Find the actor whose films generated the highest payment among customers from the country with the highest total payment.,"actor, address, city, country, customer, film, film_actor, inventory, payment, rental","actor, address, city, customer, film, film_actor, film_category, inventory, language, payment, rental, staff, store","actor, address, city, customer, film, film_actor, inventory, payment, rental","film_category, language, staff, store",country,9,4,1,0.6923,0.9,0.7826
Boss,Which category contributed the most payment in the highest performing store?,"category, customer, film, film_category, inventory, payment, rental, store","address, category, city, customer, film, film_category, inventory, payment, rental, staff, store","category, customer, film, film_category, inventory, payment, rental, store","address, city, staff",,8,3,0,0.7273,1.0,0.8421
Boss,Which actor-language pair generated the highest payment?,"actor, film, film_actor, inventory, language, payment, rental","actor, film, film_actor, film_category, inventory, language, payment","actor, film, film_actor, inventory, language, payment",film_category,rental,6,1,1,0.8571,0.8571,0.8571
Boss,Which customers generated the highest payment from films featuring actors who appeared in more than 30 films?,"actor, customer, film, film_actor, inventory, payment, rental","actor, address, city, customer, film, film_actor, film_category, inventory, language, payment, rental, staff, store","actor, customer, film, film_actor, inventory, payment, rental","address, city, film_category, language, staff, store",,7,6,0,0.5385,1.0,0.7
Boss,Which country generated the highest payment from Action films?,"address, category, city, country, customer, film, film_category, inventory, payment, rental","actor, address, category, city, country, film, film_actor, film_category, inventory, language, payment, rental, store","address, category, city, country, film, film_category, inventory, payment, rental","actor, film_actor, language, store",customer,9,4,1,0.6923,0.9,0.7826
Boss,Which actor generated the highest payment from customers living in cities where average payment exceeds the global average payment?,"actor, address, city, customer, film, film_actor, inventory, payment, rental","address, city, country, customer, inventory, payment, rental, staff, store","address, city, customer, inventory, payment, rental","country, staff, store","actor, film, film_actor",6,3,3,0.6667,0.6667,0.6667
Boss,Which category generated the highest payment among films starring actors who never appeared in Horror films?,"actor, category, film, film_actor, film_category, inventory, payment, rental","actor, category, film, film_actor, film_category, inventory, language, payment, rental, store","actor, category, film, film_actor, film_category, inventory, payment, rental","language, store",,8,2,0,0.8,1.0,0.8889
Boss,Which store generated the highest payment from customers who rented films in every category?,"category, customer, film, film_category, inventory, payment, rental, store","actor, address, category, city, customer, film, film_actor, film_category, inventory, language, payment, rental, staff, store","category, customer, film, film_category, inventory, payment, rental, store","actor, address, city, film_actor, language, staff",,8,6,0,0.5714,1.0,0.7273
Boss,Which actor generated the highest payment in the category with the lowest number of films?,"actor, category, film, film_actor, film_category, inventory, payment, rental","actor, category, film, film_actor, film_category, inventory, language","actor, category, film, film_actor, film_category, inventory",language,"payment, rental",6,1,2,0.8571,0.75,0.8
Boss,"Which country, category, and actor combination generated the highest overall rental payment?","actor, address, category, city, country, customer, film, film_actor, film_category, inventory, payment, rental","address, category, customer, film, film_category, inventory, payment, rental, staff, store","address, category, customer, film, film_category, inventory, payment, rental","staff, store","actor, city, country, film_actor",8,2,4,0.8,0.6667,0.7273
